fide_id,period,rating_type,url,tables_found,events_found,clean_rows,status,error
88128199,2024-05-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-05-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-06-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-06-01&rating=0,1.0,1.0,5,data_found,
88128199,2024-07-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-07-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-08-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-08-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-09-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-09-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-10-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-10-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-11-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-11-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2024-12-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2024-12-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2025-01-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2025-01-01&rating=0,1.0,1.0,6,data_found,
88128199,2025-02-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2025-02-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2025-03-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2025-03-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
88128199,2025-04-01,0,https://ratings.fide.com/calculations.phtml?id_number=88128199&period=2025-04-01&rating=0,1.0,1.0,5,data_found,
547056363,2024-05-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-05-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-06-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-06-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-07-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-07-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-08-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-08-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-09-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-09-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-10-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-10-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-11-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-11-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2024-12-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2024-12-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2025-01-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2025-01-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2025-02-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2025-02-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2025-03-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2025-03-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
547056363,2025-04-01,0,https://ratings.fide.com/calculations.phtml?id_number=547056363&period=2025-04-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-05-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-05-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-06-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-06-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-07-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-07-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-08-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-08-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-09-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-09-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
25135147,2024-10-01,0,https://ratings.fide.com/calculations.phtml?id_number=25135147&period=2024-10-01&rating=0,0.0,0.0,0,no_data_or_no_clean_rows,
